      Step     Time          Energy          fmax
BFGS:    0 11:18:26    48088.366972        5.284512
BFGS:    1 11:18:26    48063.786507        4.025651
BFGS:    2 11:18:26    48022.174306        2.362195
BFGS:    3 11:18:27    47995.607552        2.105428
BFGS:    4 11:18:27    47977.562798        2.496549
BFGS:    5 11:18:27    47965.002072        4.391385
BFGS:    6 11:18:27    47955.817951        4.935785
BFGS:    7 11:18:27    47948.823988        4.314665
BFGS:    8 11:18:27    47943.466125        3.401356
BFGS:    9 11:18:27    47939.392930        2.670465
BFGS:   10 11:18:27    47936.322066        2.155743
BFGS:   11 11:18:27    47934.021097        1.693092
BFGS:   12 11:18:27    47932.304484        1.307137
BFGS:   13 11:18:27    47931.028012        0.997329
BFGS:   14 11:18:27    47930.083036        0.754189
BFGS:   15 11:18:27    47929.386656        0.566154
BFGS:   16 11:18:27    47928.877982        0.451263
BFGS:   17 11:18:27    47928.508020        0.424730
BFGS:   18 11:18:27    47928.241960        0.397139
BFGS:   19 11:18:27    47928.054516        0.363595
BFGS:   20 11:18:27    47927.925805        0.325968
BFGS:   21 11:18:27    47927.840828        0.286102
BFGS:   22 11:18:27    47927.788381        0.245589
BFGS:   23 11:18:27    47927.760252        0.205515
BFGS:   24 11:18:27    47927.750281        0.179062
BFGS:   25 11:18:27    47927.745450        0.163641
BFGS:   26 11:18:28    47927.737694        0.142580
BFGS:   27 11:18:28    47927.721811        0.111959
BFGS:   28 11:18:28    47927.690739        0.072924
BFGS:   29 11:18:28    47927.636463        0.039147
BFGS:   30 11:18:28    47927.596670        0.093565
BFGS:   31 11:18:28    47927.578460        0.165722
BFGS:   32 11:18:28    47927.576706        0.185972
BFGS:   33 11:18:28    47927.575258        0.191313
BFGS:   34 11:18:28    47927.568172        0.192056
BFGS:   35 11:18:28    47927.562359        0.167564
BFGS:   36 11:18:28    47927.556491        0.126544
BFGS:   37 11:18:28    47927.550286        0.084201
BFGS:   38 11:18:28    47927.540285        0.037585
BFGS:   39 11:18:28    47927.527053        0.037440
BFGS:   40 11:18:28    47927.519106        0.075907
BFGS:   41 11:18:28    47927.518203        0.083385
BFGS:   42 11:18:28    47927.517500        0.085126
BFGS:   43 11:18:28    47927.514741        0.083429
BFGS:   44 11:18:28    47927.510801        0.073311
BFGS:   45 11:18:28    47927.502460        0.049720
BFGS:   46 11:18:28    47927.485869        0.026484
BFGS:   47 11:18:28    47927.452986        0.027303
BFGS:   48 11:18:28    47927.428589        0.043167
BFGS:   49 11:18:28    47927.415690        0.055443
BFGS:   50 11:18:28    47927.414507        0.054278
BFGS:   51 11:18:28    47927.414180        0.054689
BFGS:   52 11:18:28    47927.413658        0.054573
BFGS:   53 11:18:28    47927.412911        0.054964
BFGS:   54 11:18:28    47927.411678        0.055996
BFGS:   55 11:18:28    47927.409240        0.058017
BFGS:   56 11:18:29    47927.403714        0.061273
BFGS:   57 11:18:29    47927.394503        0.062360
BFGS:   58 11:18:29    47927.382883        0.058606
BFGS:   59 11:18:29    47927.369321        0.049065
BFGS:   60 11:18:29    47927.355312        0.032989
BFGS:   61 11:18:29    47927.349732        0.027811
BFGS:   62 11:18:29    47927.345008        0.029222
BFGS:   63 11:18:29    47927.341834        0.032050
BFGS:   64 11:18:29    47927.339904        0.039029
BFGS:   65 11:18:29    47927.339521        0.040722
BFGS:   66 11:18:29    47927.339332        0.042260
BFGS:   67 11:18:29    47927.337966        0.047005
BFGS:   68 11:18:29    47927.335654        0.049772
BFGS:   69 11:18:29    47927.329777        0.049166
BFGS:   70 11:18:29    47927.319110        0.039637
BFGS:   71 11:18:29    47927.303955        0.030230
BFGS:   72 11:18:29    47927.286670        0.020297
BFGS:   73 11:18:29    47927.277224        0.016363
BFGS:   74 11:18:29    47927.276331        0.020293
BFGS:   75 11:18:29    47927.276168        0.020318
BFGS:   76 11:18:29    47927.276029        0.020051
BFGS:   77 11:18:29    47927.275393        0.018988
BFGS:   78 11:18:29    47927.274636        0.018454
BFGS:   79 11:18:29    47927.272064        0.016351
BFGS:   80 11:18:29    47927.266701        0.017617
BFGS:   81 11:18:29    47927.256320        0.018757
BFGS:   82 11:18:29    47927.242729        0.015535
BFGS:   83 11:18:29    47927.234204        0.016770
BFGS:   84 11:18:29    47927.233019        0.014572
BFGS:   85 11:18:29    47927.232916        0.014569
BFGS:   86 11:18:29    47927.232821        0.014255
BFGS:   87 11:18:30    47927.232348        0.013262
BFGS:   88 11:18:30    47927.231267        0.012239
BFGS:   89 11:18:30    47927.228461        0.012923
BFGS:   90 11:18:30    47927.222154        0.013037
BFGS:   91 11:18:30    47927.210923        0.015102
BFGS:   92 11:18:30    47927.200147        0.015590
BFGS:   93 11:18:30    47927.195317        0.021580
BFGS:   94 11:18:30    47927.193775        0.021841
BFGS:   95 11:18:30    47927.193565        0.020807
BFGS:   96 11:18:30    47927.193499        0.020372
BFGS:   97 11:18:30    47927.193162        0.019278
BFGS:   98 11:18:30    47927.192500        0.017791
BFGS:   99 11:18:30    47927.190658        0.014963
BFGS:  100 11:18:30    47927.186494        0.010826
